assembly	protein	gene_product	database	contig	coordinates	nearest_mobile_element_bp	mobile_adjacent_5kb	mobile_adjacent_10kb	context_call_10kb	adjacent_mobile_features
GCF_019977575.1	WP_002296290.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_AP024837.1	2097096-2098826	7105	0	1	MOBILE-ADJACENT	
GCF_019977575.1	WP_002345004.1	tetracycline efflux MFS transporter Tet(L)	CARD	NZ_AP024837.1	302870-304243	563	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; MobV family relaxase
GCF_019977575.1	WP_002345005.1	tetracycline resistance ribosomal protection protein Tet(M)	CARD;CARD	NZ_AP024837.1	300853-302772	377	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; MobV family relaxase
GCF_019977575.1	WP_023042613.1	vancomycin resistance response regulator transcription factor VanR-D	CARD	NZ_AP024837.1	2656596-2657294	5096	0	1	MOBILE-ADJACENT	
GCF_019977575.1	WP_023042861.1	D-Ala-D-Ala dipeptidase VanX-D	CARD	NZ_AP024837.1	2651640-2652248	140	1	1	MOBILE-ADJACENT	tyrosine-type recombinase/integrase
GCF_019977575.1	WP_223924163.1	D-alanine--(R)-lactate ligase VanD	CARD	NZ_AP024837.1	2652254-2653285	754	1	1	MOBILE-ADJACENT	tyrosine-type recombinase/integrase
GCF_019977575.1	WP_223924165.1	D-lactate dehydrogenase VanH-D	CARD	NZ_AP024837.1	2653278-2654249	1778	1	1	MOBILE-ADJACENT	tyrosine-type recombinase/integrase
GCF_019977575.1	WP_002286379.1	LacI family DNA-binding transcriptional regulator	VFDB	NZ_AP024837.1	439816-440835	47009	0	0	no mobile element within 10 kb	
GCF_019977575.1	WP_002289238.1	collagen-binding MSCRAMM adhesin Acm	VFDB	NZ_AP024837.1	2212964-2215129	548	1	1	MOBILE-ADJACENT	ISL3 family transposase
GCF_019977575.1	WP_002289382.1	collagen-binding MSCRAMM adhesin Scm	VFDB	NZ_AP024837.1	2977176-2979158	30727	0	0	no mobile element within 10 kb	
GCF_019977575.1	WP_002289402.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_AP024837.1	2093712-2094305	3721	1	1	MOBILE-ADJACENT	IS30 family transposase
GCF_019977575.1	WP_002296629.1	LPXTG-anchored fibrinogen/nidogen-binding adhesin SgrA	VFDB	NZ_AP024837.1	1532034-1533008	4187	1	1	MOBILE-ADJACENT	IS110 family RNA-guided transposase
GCF_019977575.1	WP_002303671.1	Rib/alpha-like domain-containing protein	VFDB	NZ_AP024837.1	2884164-2889866	4397	1	1	MOBILE-ADJACENT	DDE-type integrase/transposase/recombinase; IS3 family transposase
GCF_019977575.1	WP_002305526.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_AP024837.1	2845405-2848632	417	1	1	MOBILE-ADJACENT	pLS20_p028 family conjugation system transmembrane protein; site-specific integrase
GCF_021610105.1	WP_000627290.1	streptothricin N-acetyltransferase Sat4	CARD	NZ_CP091200.1	18420-18962	2906	1	1	MOBILE-ADJACENT	IS1182-like element IS1182 family transposase; IS6-like element IS1216 family transposase
GCF_021610105.1	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	CARD;CARD	NZ_CP091198.1	1145590-1147509	377	1	1	MOBILE-ADJACENT	excisionase; tyrosine-type recombinase/integrase
GCF_021610105.1	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	CARD	NZ_CP091198.1	1958014-1959453	130	1	1	MOBILE-ADJACENT	IS256 family transposase; IS256-like element IS256 family transposase
GCF_021610105.1	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	CARD	NZ_CP091199.1	5852-6589	355	1	1	MOBILE-ADJACENT	IS4 family transposase; Tn3 family transposase; recombinase family protein
GCF_021610105.1	WP_001038792.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	CARD	NZ_CP091200.1	13519-14256	593	1	1	MOBILE-ADJACENT	IS1182-like element IS1182 family transposase; Tn3 family transposase; recombinase family protein
GCF_021610105.1	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	CARD	NZ_CP091200.1	19055-19849	2514	1	1	MOBILE-ADJACENT	IS1182-like element IS1182 family transposase; IS6-like element IS1216 family transposase
GCF_021610105.1	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	CARD;CARD	NZ_CP091200.1	17515-18423	2001	1	1	MOBILE-ADJACENT	IS1182-like element IS1182 family transposase; IS6-like element IS1216 family transposase
GCF_021610105.1	WP_002322211.1	trimethoprim-resistant dihydrofolate reductase DfrF	CARD	NZ_CP091198.1	3158635-3159129	3654	1	1	MOBILE-ADJACENT	excisionase; site-specific integrase
GCF_021610105.1	WP_002360302.1	trimethoprim-sensitive dihydrofolate reductase	CARD	NZ_CP091198.1	2927189-2927683	37034	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002387187.1	ABC-F type ribosomal protection protein Lsa(A)	CARD	NZ_CP091198.1	625129-626625	41221	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002387312.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_CP091198.1	808495-810222	11897	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002387383.1	serine/threonine protein kinase IreK	CARD	NZ_CP091198.1	1031845-1034001	47463	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002355633.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_CP091198.1	2082148-2082741	121394	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002356954.1	Mn/Fe ABC transporter substrate-binding lipoprotein EfaA	VFDB	NZ_CP091198.1	69465-70391	34144	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002357513.1	BMC domain-containing protein	VFDB	NZ_CP091198.1	2977360-2977650	19583	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002358129.1	endocarditis and biofilm-associated pilus tip protein EbpA	VFDB	NZ_CP091198.1	2451046-2454510	59432	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002358181.1	lanthipeptide cytolysin subunit CylL-S	VFDB	NZ_CP091198.1	1778754-1778945	9752	0	1	MOBILE-ADJACENT	
GCF_021610105.1	WP_002358485.1	lanthipeptide cytolysin subunit CylL-L	VFDB	NZ_CP091198.1	1778514-1778720	9977	0	1	MOBILE-ADJACENT	
GCF_021610105.1	WP_002358487.1	type 2 lanthipeptide synthetase LanM family protein	VFDB	NZ_CP091198.1	1779006-1781987	6710	0	1	MOBILE-ADJACENT	
GCF_021610105.1	WP_002359680.1	phosphatidate cytidylyltransferase	VFDB	NZ_CP091198.1	433474-434274	74184	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002359685.1	UDP-N-acetylmuramate dehydrogenase	VFDB	NZ_CP091198.1	424410-426863	81595	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002359803.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP091198.1	280925-284149	5714	0	1	MOBILE-ADJACENT	
GCF_021610105.1	WP_002362225.1	undecaprenyl pyrophosphate synthase	VFDB	NZ_CP091198.1	434271-435086	73372	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002362627.1	ABC transporter permease	VFDB	NZ_CP091198.1	420616-421428	87030	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002367100.1	casular polysaccharide biosynthesis protein CpsF	VFDB	NZ_CP091198.1	426890-427741	80717	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002369249.1	quorum-sensing system protein FsrB	VFDB	NZ_CP091198.1	3169030-3169758	5054	0	1	MOBILE-ADJACENT	
GCF_021610105.1	WP_002369251.1	gelatinase GelE	VFDB	NZ_CP091198.1	3165923-3167455	1947	1	1	MOBILE-ADJACENT	excisionase; site-specific integrase
GCF_021610105.1	WP_002369252.1	serine proteinase SprE	VFDB	NZ_CP091198.1	3165020-3165874	1044	1	1	MOBILE-ADJACENT	excisionase; site-specific integrase
GCF_021610105.1	WP_002370472.1	glycosyltransferase family A protein	VFDB	NZ_CP091198.1	430345-431811	76647	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002379309.1	endocarditis and biofilm-associated pilus minor subunit EbpB	VFDB	NZ_CP091198.1	2454514-2455944	57998	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002379310.1	endocarditis and biofilm-associated pilus major subunit EbpC	VFDB	NZ_CP091198.1	2455941-2457824	56118	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002379311.1	Ebp pilus assembly class C sortase	VFDB	NZ_CP091198.1	2457918-2458772	55170	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002386893.1	GHKL domain-containing protein, partial	VFDB	NZ_CP091198.1	3167690-3169033	3714	1	1	MOBILE-ADJACENT	excisionase; site-specific integrase
GCF_021610105.1	WP_002387027.1	LacI family transcriptional regulator BopD	VFDB	NZ_CP091198.1	2267836-2268846	15452	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002387127.1	ATP-binding cassette domain-containing protein	VFDB	NZ_CP091198.1	421428-422813	85645	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002387128.1	lipoprotein CpsH	VFDB	NZ_CP091198.1	423994-424392	84066	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002387129.1	glycosyltransferase family 2 protein	VFDB	NZ_CP091198.1	427765-430275	78183	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002387925.1	site-2 protease family protein	VFDB	NZ_CP091198.1	1785396-1786361	2336	1	1	MOBILE-ADJACENT	recombinase family protein
GCF_021610105.1	WP_002399773.1	hyaluronate lyase HylB	VFDB	NZ_CP091198.1	2131786-2134800	149498	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_002404803.1	S8 family serine peptidase	VFDB	NZ_CP091198.1	1784139-1785377	3320	1	1	MOBILE-ADJACENT	recombinase family protein
GCF_021610105.1	WP_010706484.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP091198.1	3247063-3250290	6450	0	1	MOBILE-ADJACENT	
GCF_021610105.1	WP_010714416.1	collagen-binding MSCRAMM adhesin Ace	VFDB	NZ_CP091198.1	2461854-2463878	50064	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_011109506.1	response regulator transcription factor FsrA	VFDB	NZ_CP091198.1	3169847-3170578	5871	0	1	MOBILE-ADJACENT	
GCF_021610105.1	WP_115354579.1	EF3023 family LPXTG-anchored polysaccharide lyase	VFDB	NZ_CP091198.1	940025-944143	58457	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_236334862.1	cysteine peptidase family C39 domain-containing protein	VFDB	NZ_CP091198.1	1781999-1782373	6324	0	1	MOBILE-ADJACENT	
GCF_021610105.1	WP_236335240.1	CDP-glycerol glycerophosphotransferase family protein	VFDB	NZ_CP091198.1	431830-432957	75501	0	0	no mobile element within 10 kb	
GCF_021610105.1	WP_236335371.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB	NZ_CP091198.1	1323158-1327075	3006	1	1	MOBILE-ADJACENT	
GCF_021610105.1	WP_236335448.1	peptidase domain-containing ABC transporter	VFDB	NZ_CP091198.1	1782520-1784142	4555	1	1	MOBILE-ADJACENT	recombinase family protein
GCF_022869705.1	WP_002358140.1	multidrug efflux MFS transporter EmeA	CARD	NZ_CP064374.1	1709838-1710992	57234	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_002360302.1	trimethoprim-sensitive dihydrofolate reductase	CARD	NZ_CP064374.1	2151533-2152027	37033	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_002365367.1	serine/threonine protein kinase IreK	CARD	NZ_CP064374.1	582887-585043	5544	0	1	MOBILE-ADJACENT	
GCF_022869705.1	WP_002411322.1	ABC-F type ribosomal protection protein Lsa(A)	CARD	NZ_CP064374.1	221531-223027	160620	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_010708444.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_CP064374.1	354833-356560	27087	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_002355633.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_CP064374.1	1401954-1402547	147562	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_002356646.1	undecaprenyl pyrophosphate synthase	VFDB	NZ_CP064374.1	38935-39750	3582	1	1	MOBILE-ADJACENT	IS200/IS605 family transposase
GCF_022869705.1	WP_002356954.1	Mn/Fe ABC transporter substrate-binding lipoprotein EfaA	VFDB	NZ_CP064374.1	2602810-2603736	34605	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_002357513.1	BMC domain-containing protein	VFDB	NZ_CP064374.1	2206837-2207127	19593	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_002359680.1	phosphatidate cytidylyltransferase	VFDB	NZ_CP064374.1	38138-38938	2785	1	1	MOBILE-ADJACENT	IS200/IS605 family transposase
GCF_022869705.1	WP_002360104.1	gelatinase GelE	VFDB	NZ_CP064374.1	2391809-2393341	4633	1	1	MOBILE-ADJACENT	tyrosine-type recombinase/integrase
GCF_022869705.1	WP_002360607.1	Ebp pilus assembly class C sortase	VFDB	NZ_CP064374.1	1725032-1725889	54783	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_002388874.1	endocarditis and biofilm-associated pilus major subunit EbpC	VFDB	NZ_CP064374.1	1723055-1724938	55734	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_002388884.1	endocarditis and biofilm-associated pilus minor subunit EbpB	VFDB	NZ_CP064374.1	1721628-1723058	57614	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_010730748.1	collagen binding domain-containing protein	VFDB	NZ_CP064374.1	1729216-1730958	49714	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_010816099.1	LacI family transcriptional regulator BopD	VFDB	NZ_CP064374.1	1573477-1574487	77158	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_010816125.1	serine proteinase SprE	VFDB	NZ_CP064374.1	2390906-2391760	6214	0	1	MOBILE-ADJACENT	
GCF_022869705.1	WP_080004761.1	polysaccharide lyase family 8 super-sandwich domain-containing protein	VFDB	NZ_CP064374.1	492834-497378	26604	0	0	no mobile element within 10 kb	
GCF_022869705.1	WP_111997010.1	Rib/alpha-like domain-containing protein	VFDB	NZ_CP064374.1	1225159-1230276	2090	1	1	MOBILE-ADJACENT	IS30-like element IS6770 family transposase; IS30-like element ISEnfa364 family transposase; recombinase family protein
GCF_022869705.1	WP_147594668.1	endocarditis and biofilm-associated pilus tip protein EbpA	VFDB	NZ_CP064374.1	1718160-1721624	59048	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	CARD	NZ_AP026723.1	10488-11225	355	1	1	MOBILE-ADJACENT	Tn3 family transposase; recombinase family protein
GCF_028131645.1	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	CARD	NZ_AP026723.1	11976-12770	1843	1	1	MOBILE-ADJACENT	Tn3 family transposase; recombinase family protein
GCF_028131645.1	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	CARD;CARD	NZ_AP026723.1	13340-14248	1348	1	1	MOBILE-ADJACENT	Tn3 family transposase; recombinase family protein
GCF_028131645.1	WP_002358140.1	multidrug efflux MFS transporter EmeA	CARD	NZ_AP026721.1	1023157-1024311	72105	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002360302.1	trimethoprim-sensitive dihydrofolate reductase	CARD	NZ_AP026721.1	1458277-1458771	37027	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002370103.1	serine/threonine protein kinase IreK	CARD	NZ_AP026721.1	2944005-2946161	46081	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002370529.1	ABC-F type ribosomal protection protein Lsa(A)	CARD	NZ_AP026721.1	2587347-2588843	2911	1	1	MOBILE-ADJACENT	IS256-like element ISEfm2 family transposase
GCF_028131645.1	WP_002414139.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_AP026721.1	2758773-2760500	62693	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002602099.1	tetracycline resistance ribosomal protection protein Tet(32)	CARD;CARD	NZ_AP026721.1	1939879-1941798	2413	1	1	MOBILE-ADJACENT	plasmid mobilization protein; relaxase/mobilization nuclease domain-containing protein
GCF_028131645.1	WP_210918694.1	tetracycline resistance ribosomal protection protein Tet(M)	CARD;CARD	NZ_AP026721.1	279583-281502	377	1	1	MOBILE-ADJACENT	IS256-like element ISEfm2 family transposase; excisionase; site-specific integrase
GCF_028131645.1	WP_271526917.1	D-Ala-D-Ala dipeptidase VanX	CARD	NZ_AP026721.1	1876215-1876823	1898	1	1	MOBILE-ADJACENT	recombinase family protein
GCF_028131645.1	WP_271526920.1	D-lactate dehydrogenase VanH-D	CARD	NZ_AP026721.1	1877853-1878824	3536	1	1	MOBILE-ADJACENT	recombinase family protein
GCF_028131645.1	WP_271526926.1	vancomycin resistance response regulator transcription factor VanR-D	CARD	NZ_AP026721.1	1881155-1881853	6838	0	1	MOBILE-ADJACENT	
GCF_028131645.1	WP_002355633.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_AP026721.1	665025-665618	154329	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002356646.1	undecaprenyl pyrophosphate synthase	VFDB	NZ_AP026721.1	2366271-2367086	21026	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002356954.1	Mn/Fe ABC transporter substrate-binding lipoprotein EfaA	VFDB	NZ_AP026721.1	2004763-2005689	30289	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002357513.1	BMC domain-containing protein	VFDB	NZ_AP026721.1	1508109-1508399	19593	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002358181.1	lanthipeptide cytolysin subunit CylL-S	VFDB	NZ_AP026721.1	429329-429520	1669	1	1	MOBILE-ADJACENT	IS256 family transposase; IS6 family transposase
GCF_028131645.1	WP_002358485.1	lanthipeptide cytolysin subunit CylL-L	VFDB	NZ_AP026721.1	429089-429295	1429	1	1	MOBILE-ADJACENT	IS256 family transposase; IS6 family transposase
GCF_028131645.1	WP_002359680.1	phosphatidate cytidylyltransferase	VFDB	NZ_AP026721.1	2365474-2366274	20229	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002359685.1	UDP-N-acetylmuramate dehydrogenase	VFDB	NZ_AP026721.1	2356412-2358865	11167	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002359687.1	UDP-galactopyranose mutase	VFDB	NZ_AP026721.1	2354798-2355937	9553	0	1	MOBILE-ADJACENT	
GCF_028131645.1	WP_002360104.1	gelatinase GelE	VFDB	NZ_AP026721.1	1691719-1693251	4633	1	1	MOBILE-ADJACENT	tyrosine-type recombinase/integrase
GCF_028131645.1	WP_002362627.1	ABC transporter permease	VFDB	NZ_AP026721.1	2352617-2353429	7372	0	1	MOBILE-ADJACENT	
GCF_028131645.1	WP_002367100.1	casular polysaccharide biosynthesis protein CpsF	VFDB	NZ_AP026721.1	2358892-2359743	13647	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002368282.1	site-2 protease family protein	VFDB	NZ_AP026721.1	435953-436936	4704	1	1	MOBILE-ADJACENT	IS256-like element ISEfm2 family transposase
GCF_028131645.1	WP_002368283.1	S8 family serine peptidase	VFDB	NZ_AP026721.1	434714-435952	5688	0	1	MOBILE-ADJACENT	
GCF_028131645.1	WP_002370472.1	glycosyltransferase family A protein	VFDB	NZ_AP026721.1	2362347-2363813	17102	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002370929.1	type 2 lanthipeptide synthetase LanM family protein	VFDB	NZ_AP026721.1	429581-432562	1921	1	1	MOBILE-ADJACENT	IS256 family transposase; IS6 family transposase
GCF_028131645.1	WP_002370931.1	cytolysin regulator CylR2	VFDB	NZ_AP026721.1	428485-428685	825	1	1	MOBILE-ADJACENT	IS256 family transposase; IS6 family transposase
GCF_028131645.1	WP_002371018.1	serine proteinase SprE	VFDB	NZ_AP026721.1	1690816-1691670	6214	0	1	MOBILE-ADJACENT	
GCF_028131645.1	WP_002371340.1	Ebp pilus assembly class C sortase	VFDB	NZ_AP026721.1	1038353-1039207	57209	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002371343.1	endocarditis and biofilm-associated pilus minor subunit EbpB	VFDB	NZ_AP026721.1	1034949-1036379	60037	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002387128.1	lipoprotein CpsH	VFDB	NZ_AP026721.1	2355996-2356394	10751	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002387129.1	glycosyltransferase family 2 protein	VFDB	NZ_AP026721.1	2359767-2362277	14522	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002391973.1	ATP-binding cassette domain-containing protein	VFDB	NZ_AP026721.1	2353429-2354814	8184	0	1	MOBILE-ADJACENT	
GCF_028131645.1	WP_002402863.1	endocarditis and biofilm-associated pilus major subunit EbpC	VFDB	NZ_AP026721.1	1036376-1038259	58157	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_002402981.1	LacI family transcriptional regulator BopD	VFDB	NZ_AP026721.1	849992-851002	449	1	1	MOBILE-ADJACENT	IS256-like element ISEfm2 family transposase
GCF_028131645.1	WP_012579113.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB;VFDB	NZ_AP026722.1	69104-73030	19405	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_025186832.1	collagen binding domain-containing protein	VFDB	NZ_AP026721.1	1044493-1046658	49758	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_172494179.1	endocarditis and biofilm-associated pilus tip protein EbpA	VFDB	NZ_AP026721.1	1031481-1034945	61471	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_242428028.1	cysteine peptidase family C39 domain-containing protein	VFDB	NZ_AP026721.1	432574-432948	4914	1	1	MOBILE-ADJACENT	IS6 family transposase
GCF_028131645.1	WP_263711767.1	peptidase domain-containing ABC transporter	VFDB	NZ_AP026721.1	433095-434717	5435	0	1	MOBILE-ADJACENT	
GCF_028131645.1	WP_271527719.1	CDP-glycerol glycerophosphotransferase family protein	VFDB	NZ_AP026721.1	2363832-2365001	18587	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_271528595.1	EF3023 family LPXTG-anchored polysaccharide lyase	VFDB	NZ_AP026721.1	2850149-2854267	137975	0	0	no mobile element within 10 kb	
GCF_028131645.1	WP_271529471.1	Rib/alpha-like domain-containing protein	VFDB	NZ_AP026721.1	442934-448555	102	1	1	MOBILE-ADJACENT	IS256-like element ISEfm2 family transposase
GCF_028131645.1	WP_373416153.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB;VFDB	NZ_AP026721.1	391836-395741	3769	1	1	MOBILE-ADJACENT	tyrosine-type recombinase/integrase
GCF_029023785.1	WP_002287458.1	ABC-F type ribosomal protection protein Msr(C)	CARD	NZ_CP118955.1	2426705-2428183	23902	0	0	no mobile element within 10 kb	
GCF_029023785.1	WP_002291207.1	multidrug efflux MFS transporter EfmA	CARD	NZ_CP118955.1	514111-515397	25650	0	0	no mobile element within 10 kb	
GCF_029023785.1	WP_002293989.1	aminoglycoside 6'-N-acetyltransferase	CARD	NZ_CP118955.1	2040226-2040774	13120	0	0	no mobile element within 10 kb	
GCF_029023785.1	WP_002294065.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_CP118955.1	1923796-1925526	78140	0	0	no mobile element within 10 kb	
GCF_029023785.1	WP_002289402.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_CP118955.1	1920412-1921005	82661	0	0	no mobile element within 10 kb	
GCF_029023785.1	WP_002294628.1	LacI family DNA-binding transcriptional regulator	VFDB	NZ_CP118955.1	366482-367501	79925	0	0	no mobile element within 10 kb	
GCF_029023785.1	WP_002334559.1	hypothetical protein	VFDB	NZ_CP118955.1	2486313-2486459	0	1	1	MOBILE-ADJACENT	IS30-like element IS6770 family transposase
GCF_029023785.1	WP_033585060.1	collagen-binding MSCRAMM adhesin Acm	VFDB	NZ_CP118955.1	2051676-2053790	104	1	1	MOBILE-ADJACENT	IS30 family transposase
GCF_029024925.1	WP_002358140.1	multidrug efflux MFS transporter EmeA	CARD	NZ_CP118962.1	924849-926003	57234	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_002360302.1	trimethoprim-sensitive dihydrofolate reductase	CARD	NZ_CP118962.1	1366544-1367038	37033	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_002365367.1	serine/threonine protein kinase IreK	CARD	NZ_CP118962.1	2665914-2668070	5544	0	1	MOBILE-ADJACENT	
GCF_029024925.1	WP_002411322.1	ABC-F type ribosomal protection protein Lsa(A)	CARD	NZ_CP118962.1	2303490-2304986	160620	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_010708444.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_CP118962.1	2436792-2438519	27087	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_002355633.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_CP118962.1	616963-617556	147562	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_002356646.1	undecaprenyl pyrophosphate synthase	VFDB	NZ_CP118962.1	2120894-2121709	3582	1	1	MOBILE-ADJACENT	IS200/IS605 family transposase
GCF_029024925.1	WP_002356954.1	Mn/Fe ABC transporter substrate-binding lipoprotein EfaA	VFDB	NZ_CP118962.1	1817821-1818747	34605	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_002357513.1	BMC domain-containing protein	VFDB	NZ_CP118962.1	1421848-1422138	19593	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_002359680.1	phosphatidate cytidylyltransferase	VFDB	NZ_CP118962.1	2120097-2120897	2785	1	1	MOBILE-ADJACENT	IS200/IS605 family transposase
GCF_029024925.1	WP_002360104.1	gelatinase GelE	VFDB	NZ_CP118962.1	1606820-1608352	4633	1	1	MOBILE-ADJACENT	tyrosine-type recombinase/integrase
GCF_029024925.1	WP_002360607.1	Ebp pilus assembly class C sortase	VFDB	NZ_CP118962.1	940043-940900	54783	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_002388874.1	endocarditis and biofilm-associated pilus major subunit EbpC	VFDB	NZ_CP118962.1	938066-939949	55734	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_002388884.1	endocarditis and biofilm-associated pilus minor subunit EbpB	VFDB	NZ_CP118962.1	936639-938069	57614	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_010730748.1	collagen binding domain-containing protein	VFDB	NZ_CP118962.1	944227-945969	49714	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_010816099.1	LacI family transcriptional regulator BopD	VFDB	NZ_CP118962.1	788486-789496	77160	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_010816125.1	serine proteinase SprE	VFDB	NZ_CP118962.1	1605917-1606771	6214	0	1	MOBILE-ADJACENT	
GCF_029024925.1	WP_080004761.1	polysaccharide lyase family 8 super-sandwich domain-containing protein	VFDB	NZ_CP118962.1	2575861-2580405	26587	0	0	no mobile element within 10 kb	
GCF_029024925.1	WP_111997010.1	Rib/alpha-like domain-containing protein	VFDB	NZ_CP118962.1	440168-445285	2090	1	1	MOBILE-ADJACENT	IS30-like element IS6770 family transposase; IS30-like element ISEnfa364 family transposase; recombinase family protein
GCF_029024925.1	WP_147594668.1	endocarditis and biofilm-associated pilus tip protein EbpA	VFDB	NZ_CP118962.1	933171-936635	59048	0	0	no mobile element within 10 kb	
