accession	n_GH_families	GH_families	all_families	n_cazymes_consensus	n_single_tool_dropped	n_rows_fallback
GCF_035985965.1	22	GH1;GH113;GH115;GH125;GH13;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH32;GH38;GH43;GH65;GH67;GH73;GH77;GH8;GH85;GH92	AA10;CBM13;CBM32;CBM34;CBM48;CBM5;CBM50;CBM91;CE4;CE7;CE9;GH1;GH113;GH115;GH125;GH13;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH32;GH38;GH43;GH65;GH67;GH73;GH77;GH8;GH85;GH92;GT111;GT119;GT2;GT28;GT35;GT4;GT5;GT51;GT8	82	74	0
GCF_036227545.1	16	GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94	CBM10;CBM23;CBM48;CBM91;CE2;CE20;CE4;CE5;GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94;GT1;GT111;GT119;GT127;GT2;GT28;GT32;GT35;GT39;GT4;GT51	78	49	0
GCF_036255815.1	21	GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH39;GH42;GH65;GH73;GH78;GH85;GH92	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH39;GH42;GH65;GH73;GH78;GH85;GH92;GT111;GT119;GT125;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51	111	151	0
GCF_036259715.1	22	GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH39;GH42;GH65;GH73;GH78;GH85;GH92	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH39;GH42;GH65;GH73;GH78;GH85;GH92;GT111;GT119;GT125;GT2;GT26;GT28;GT35;GT4;GT5;GT51	110	150	0
GCF_036261395.1	12	GH1;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH32;GH36;GH65;GH73	CBM50;CE2;CE20;CE9;GH1;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH32;GH36;GH65;GH73;GT111;GT119;GT122;GT2;GT26;GT28;GT4;GT51;GT8	48	73	0
GCF_036277495.1	27	GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94	AA10;CBM32;CBM34;CBM50;CE1;CE4;CE7;CE9;GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94;GT119;GT2;GT26;GT28;GT4;GT51;GT8;PL12;PL8	84	96	0
GCF_036279155.1	27	GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94	AA10;CBM32;CBM34;CBM50;CE1;CE4;CE7;CE9;GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94;GT119;GT2;GT26;GT28;GT4;GT51;GT8;PL12;PL8	84	96	0
GCF_036281235.1	21	GH1;GH109;GH125;GH127;GH13;GH15;GH170;GH18;GH2;GH23;GH25;GH3;GH31;GH32;GH35;GH36;GH38;GH63;GH65;GH73;GH88	AA4;CBM34;CBM50;CBM67;CE4;CE9;GH1;GH109;GH125;GH127;GH13;GH15;GH170;GH18;GH2;GH23;GH25;GH3;GH31;GH32;GH35;GH36;GH38;GH63;GH65;GH73;GH88;GT119;GT122;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83	86	89	0
GCF_036281635.1	27	GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94	AA10;CBM32;CBM34;CBM50;CE1;CE4;CE7;CE9;GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94;GT119;GT2;GT26;GT28;GT4;GT51;GT8;PL12;PL8	89	100	0
GCF_036287535.1	17	GH1;GH109;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78	AA10;AA4;CBM34;CBM48;CBM50;CE1;CE4;CE9;GH1;GH109;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GT119;GT2;GT26;GT28;GT35;GT4;GT5;GT51	84	137	0
GCF_036321505.1	18	GH1;GH109;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH39;GH42;GH65;GH73;GH78;GH85	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH39;GH42;GH65;GH73;GH78;GH85;GT111;GT119;GT125;GT2;GT26;GT28;GT35;GT4;GT5;GT51	100	161	0
GCF_036321605.1	21	GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH43;GH65;GH73;GH78;GH85;GH92	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH43;GH65;GH73;GH78;GH85;GH92;GT111;GT119;GT122;GT125;GT2;GT26;GT28;GT35;GT4;GT5;GT51	106	147	0
GCF_036330065.1	21	GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92	AA10;AA4;CBM32;CBM34;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92;GT111;GT119;GT125;GT127;GT2;GT26;GT28;GT35;GT4;GT5;GT51	107	146	0
GCF_036347815.1	15	GH1;GH13;GH140;GH170;GH2;GH25;GH31;GH32;GH36;GH4;GH42;GH65;GH73;GH78;GH8	CBM32;CBM34;CBM41;CBM48;CBM67;CE9;GH1;GH13;GH140;GH170;GH2;GH25;GH31;GH32;GH36;GH4;GH42;GH65;GH73;GH78;GH8;GT111;GT119;GT131;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51;GT8	66	66	0
GCF_036350535.1	15	GH1;GH13;GH140;GH170;GH2;GH25;GH31;GH32;GH36;GH4;GH42;GH65;GH73;GH78;GH8	CBM32;CBM34;CBM41;CBM48;CBM67;CE9;GH1;GH13;GH140;GH170;GH2;GH25;GH31;GH32;GH36;GH4;GH42;GH65;GH73;GH78;GH8;GT111;GT119;GT131;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51;GT8	66	66	0
GCF_036352175.1	26	GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94	AA10;CBM32;CBM34;CBM50;CE1;CE4;CE7;CE9;GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94;GT119;GT2;GT28;GT4;GT51;GT8;PL12;PL8	88	97	0
GCF_036352235.1	26	GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH24;GH25;GH3;GH31;GH32;GH35;GH38;GH65;GH73;GH88;GH92;GH94	AA10;CBM32;CBM34;CBM50;CE1;CE4;CE7;CE9;GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH24;GH25;GH3;GH31;GH32;GH35;GH38;GH65;GH73;GH88;GH92;GH94;GT119;GT2;GT26;GT28;GT4;GT51;GT8;PL8	94	97	0
GCF_036353265.1	21	GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92;GT111;GT113;GT119;GT125;GT131;GT2;GT26;GT28;GT35;GT4;GT5;GT51	105	145	0
GCF_036353295.2	16	GH1;GH109;GH126;GH13;GH170;GH188;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78	AA10;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH126;GH13;GH170;GH188;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GT111;GT113;GT119;GT125;GT2;GT26;GT28;GT35;GT4;GT5;GT51	87	154	0
GCF_036416335.1	16	GH1;GH109;GH13;GH170;GH188;GH2;GH23;GH25;GH32;GH36;GH39;GH42;GH65;GH73;GH78;GH85	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH13;GH170;GH188;GH2;GH23;GH25;GH32;GH36;GH39;GH42;GH65;GH73;GH78;GH85;GT113;GT119;GT125;GT2;GT26;GT28;GT35;GT4;GT51	88	152	0
GCF_036419235.1	28	GH109;GH112;GH120;GH121;GH125;GH127;GH129;GH13;GH172;GH18;GH184;GH2;GH20;GH23;GH3;GH30;GH31;GH32;GH33;GH36;GH38;GH42;GH43;GH5;GH51;GH53;GH77;GH85	CBM13;CBM22;CBM48;CBM6;CBM61;CBM91;CE8;CE9;GH109;GH112;GH120;GH121;GH125;GH127;GH129;GH13;GH172;GH18;GH184;GH2;GH20;GH23;GH3;GH30;GH31;GH32;GH33;GH36;GH38;GH42;GH43;GH5;GH51;GH53;GH77;GH85;GT119;GT2;GT28;GT35;GT4;GT51;PL27	81	53	0
GCF_036430805.1	17	GH1;GH109;GH126;GH13;GH15;GH170;GH188;GH2;GH25;GH32;GH36;GH42;GH65;GH70;GH73;GH78;GH85	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH126;GH13;GH15;GH170;GH188;GH2;GH25;GH32;GH36;GH42;GH65;GH70;GH73;GH78;GH85;GT119;GT2;GT26;GT28;GT35;GT4;GT5;GT51	81	132	0
GCF_036430845.1	17	GH1;GH109;GH126;GH13;GH15;GH170;GH188;GH2;GH25;GH32;GH36;GH42;GH65;GH70;GH73;GH78;GH85	AA10;AA4;CBM32;CBM34;CBM41;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH126;GH13;GH15;GH170;GH188;GH2;GH25;GH32;GH36;GH42;GH65;GH70;GH73;GH78;GH85;GT113;GT119;GT2;GT26;GT28;GT35;GT4;GT5;GT51	84	129	0
GCF_036431035.1	11	GH1;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH38;GH65;GH73	CBM50;CE2;CE20;CE9;GH1;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH38;GH65;GH73;GT111;GT113;GT119;GT127;GT2;GT26;GT28;GT32;GT4;GT51;GT8	52	68	0
GCF_036431105.1	11	GH1;GH123;GH126;GH13;GH170;GH188;GH2;GH25;GH3;GH65;GH73	CBM50;CE2;CE20;CE9;GH1;GH123;GH126;GH13;GH170;GH188;GH2;GH25;GH3;GH65;GH73;GT119;GT2;GT26;GT28;GT4;GT51;GT8	44	71	0
GCF_036432135.1	11	GH13;GH2;GH23;GH25;GH31;GH36;GH42;GH53;GH65;GH73;GH8	CBM50;GH13;GH2;GH23;GH25;GH31;GH36;GH42;GH53;GH65;GH73;GH8;GT111;GT113;GT119;GT125;GT14;GT2;GT26;GT28;GT4;GT51;GT8	50	66	0
GCF_036454445.1	21	GH1;GH109;GH125;GH13;GH170;GH2;GH23;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH59;GH65;GH73;GH78	AA1;CBM32;CBM34;CBM48;CBM50;CBM67;CE1;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH2;GH23;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH59;GH65;GH73;GH78;GT111;GT113;GT119;GT125;GT2;GT28;GT35;GT4;GT5;GT51;GT8;GT83	82	81	0
GCF_036542485.1	23	GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH92;GH94	AA10;CBM34;CBM50;CE1;CE4;CE7;CE9;GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH92;GH94;GT119;GT134;GT2;GT26;GT28;GT4;GT51;GT8	83	93	0
GCF_036583945.1	24	GH1;GH109;GH115;GH126;GH13;GH136;GH170;GH2;GH25;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH4;GH43;GH59;GH65;GH73;GH78;GH88	AA1;AA4;CBM32;CBM34;CBM48;CBM50;CBM67;CE1;CE4;CE9;GH1;GH109;GH115;GH126;GH13;GH136;GH170;GH2;GH25;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH4;GH43;GH59;GH65;GH73;GH78;GH88;GT113;GT119;GT122;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83;PL12;PL8	99	79	0
GCF_036595825.1	23	GH1;GH109;GH125;GH13;GH136;GH170;GH2;GH25;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH59;GH65;GH73;GH78;GH88	AA4;CBM32;CBM34;CBM48;CBM50;CBM67;CE1;CE4;CE9;GH1;GH109;GH125;GH13;GH136;GH170;GH2;GH25;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH59;GH65;GH73;GH78;GH88;GT1;GT101;GT113;GT119;GT122;GT125;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83;PL12;PL8	90	83	0
GCF_036620535.1	14	GH1;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH65;GH70;GH73	CBM50;CE2;CE20;CE9;GH1;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH65;GH70;GH73;GT119;GT2;GT26;GT28;GT4;GT51;GT8	50	75	0
GCF_036620575.1	13	GH1;GH126;GH13;GH170;GH188;GH23;GH25;GH31;GH32;GH36;GH38;GH65;GH73	CBM50;CE2;CE20;CE9;GH1;GH126;GH13;GH170;GH188;GH23;GH25;GH31;GH32;GH36;GH38;GH65;GH73;GT111;GT119;GT2;GT26;GT28;GT4;GT51;GT8	52	71	0
GCF_036621875.1	14	GH120;GH13;GH2;GH23;GH25;GH31;GH36;GH43;GH53;GH65;GH68;GH70;GH73;GH8	CBM50;GH120;GH13;GH2;GH23;GH25;GH31;GH36;GH43;GH53;GH65;GH68;GH70;GH73;GH8;GT111;GT113;GT119;GT125;GT2;GT28;GT4;GT51;GT8	49	71	0
GCF_036621895.1	11	GH120;GH13;GH2;GH25;GH31;GH36;GH53;GH65;GH68;GH73;GH8	CBM34;CBM50;GH120;GH13;GH2;GH25;GH31;GH36;GH53;GH65;GH68;GH73;GH8;GT111;GT113;GT119;GT125;GT14;GT2;GT28;GT4;GT51;GT8	49	60	0
GCF_036689605.1	27	GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94	AA10;CBM32;CBM34;CBM50;CE1;CE4;CE7;CE9;GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94;GT119;GT2;GT26;GT28;GT4;GT51;GT8;PL12;PL8	88	103	0
GCF_036762805.1	15	GH1;GH109;GH126;GH13;GH170;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH65;GH73;GH78	AA10;AA4;CBM34;CBM48;CBM50;CBM67;CE1;CE2;CE4;CE9;GH1;GH109;GH126;GH13;GH170;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH65;GH73;GH78;GT119;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51	90	139	0
GCF_036784745.1	7	GH13;GH2;GH23;GH25;GH32;GH73;GH77	CBM50;CE1;CE4;CE9;GH13;GH2;GH23;GH25;GH32;GH73;GH77;GT113;GT119;GT122;GT2;GT28;GT35;GT4;GT51;GT8	38	55	0
GCF_036784755.1	10	GH13;GH140;GH2;GH23;GH25;GH32;GH36;GH65;GH70;GH73	CBM34;CBM50;GH13;GH140;GH2;GH23;GH25;GH32;GH36;GH65;GH70;GH73;GT111;GT113;GT119;GT122;GT125;GT14;GT2;GT28;GT4;GT51	36	70	0
GCF_036872545.1	27	GH1;GH109;GH112;GH123;GH125;GH129;GH13;GH172;GH176;GH18;GH184;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH33;GH36;GH38;GH42;GH43;GH5;GH53;GH77;GH95	CBM25;CBM41;CBM48;CBM5;CBM50;CBM61;CE2;CE20;CE4;CE9;GH1;GH109;GH112;GH123;GH125;GH129;GH13;GH172;GH176;GH18;GH184;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH33;GH36;GH38;GH42;GH43;GH5;GH53;GH77;GH95;GT119;GT2;GT28;GT35;GT4;GT51;PL27	85	47	0
GCF_036880975.1	16	GH1;GH109;GH126;GH13;GH170;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH39;GH65;GH73;GH78	AA10;AA4;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH126;GH13;GH170;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH39;GH65;GH73;GH78;GT111;GT119;GT125;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51	93	142	0
GCF_036898925.1	21	GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH4;GH42;GH65;GH73;GH78;GH85;GH92	AA10;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH4;GH42;GH65;GH73;GH78;GH85;GH92;GT119;GT125;GT2;GT26;GT28;GT35;GT4;GT5;GT51	97	150	0
GCF_036907415.1	13	GH1;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH65;GH73	CBM50;CE2;CE20;CE9;GH1;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH65;GH73;GT111;GT113;GT119;GT127;GT2;GT26;GT28;GT32;GT4;GT51;GT8	53	76	0
GCF_036923305.1	16	GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94	CBM10;CBM23;CBM48;CBM91;CE2;CE20;CE4;CE5;GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94;GT1;GT111;GT119;GT127;GT2;GT28;GT32;GT35;GT39;GT4;GT51	80	50	0
GCF_036923315.1	7	GH13;GH2;GH23;GH25;GH32;GH73;GH77	CBM50;CE1;CE4;CE9;GH13;GH2;GH23;GH25;GH32;GH73;GH77;GT119;GT122;GT14;GT2;GT28;GT35;GT4;GT51;GT8	39	54	0
GCF_036942455.1	20	GH1;GH125;GH13;GH136;GH170;GH2;GH20;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH65;GH73;GH88	AA4;CBM34;CBM48;CBM50;CE1;CE4;CE9;GH1;GH125;GH13;GH136;GH170;GH2;GH20;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH65;GH73;GH88;GT119;GT128;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83;PL12;PL8	99	94	0
GCF_037006085.1	9	GH13;GH2;GH23;GH25;GH3;GH32;GH65;GH70;GH73	CBM50;GH13;GH2;GH23;GH25;GH3;GH32;GH65;GH70;GH73;GT111;GT113;GT119;GT125;GT2;GT28;GT4;GT51	34	72	0
GCF_037094665.1	17	GH1;GH109;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH65;GH73;GH78;GH85	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH65;GH73;GH78;GH85;GT111;GT119;GT125;GT2;GT26;GT28;GT35;GT4;GT5;GT51	91	147	0
GCF_037099845.1	21	GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92;GT111;GT119;GT125;GT127;GT14;GT2;GT26;GT28;GT4;GT5;GT51	107	148	0
GCF_037099855.1	25	GH1;GH125;GH13;GH136;GH170;GH2;GH20;GH23;GH25;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH43;GH53;GH59;GH65;GH73;GH88	AA4;AA7;CBM34;CBM48;CBM50;CBM61;CE1;CE4;CE9;GH1;GH125;GH13;GH136;GH170;GH2;GH20;GH23;GH25;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH43;GH53;GH59;GH65;GH73;GH88;GT119;GT2;GT28;GT35;GT4;GT5;GT51;GT8;GT83;PL12;PL8	85	93	0
GCF_037099865.1	20	GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92;GT119;GT14;GT2;GT26;GT28;GT35;GT4;GT5;GT51	99	144	0
GCF_037100195.1	21	GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92;GT111;GT119;GT125;GT2;GT26;GT28;GT35;GT4;GT5;GT51	100	145	0
GCF_037100215.1	25	GH101;GH109;GH112;GH120;GH127;GH129;GH13;GH172;GH184;GH2;GH20;GH23;GH25;GH3;GH30;GH31;GH32;GH33;GH36;GH42;GH43;GH5;GH51;GH53;GH77	CBM13;CBM32;CBM48;CBM50;CBM61;CBM91;CE8;CE9;GH101;GH109;GH112;GH120;GH127;GH129;GH13;GH172;GH184;GH2;GH20;GH23;GH25;GH3;GH30;GH31;GH32;GH33;GH36;GH42;GH43;GH5;GH51;GH53;GH77;GT111;GT119;GT2;GT28;GT35;GT4;GT51;PL27	85	53	0
GCF_037100225.1	15	GH1;GH13;GH170;GH2;GH23;GH25;GH31;GH32;GH36;GH4;GH42;GH65;GH73;GH78;GH8	CBM32;CBM34;CBM50;CE9;GH1;GH13;GH170;GH2;GH23;GH25;GH31;GH32;GH36;GH4;GH42;GH65;GH73;GH78;GH8;GT101;GT111;GT113;GT119;GT122;GT2;GT26;GT28;GT32;GT4;GT51;GT8	68	66	0
GCF_037113575.1	21	GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH4;GH42;GH65;GH73;GH78;GH85;GH92	AA10;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH4;GH42;GH65;GH73;GH78;GH85;GH92;GT119;GT125;GT2;GT26;GT28;GT35;GT4;GT5;GT51	98	149	0
GCF_037118725.1	26	GH1;GH109;GH115;GH126;GH13;GH15;GH154;GH170;GH2;GH23;GH25;GH28;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH43;GH59;GH65;GH73;GH78;GH88	AA4;CBM32;CBM34;CBM48;CBM50;CBM67;CBM91;CE1;CE4;CE9;GH1;GH109;GH115;GH126;GH13;GH15;GH154;GH170;GH2;GH23;GH25;GH28;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH43;GH59;GH65;GH73;GH78;GH88;GT119;GT122;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83	93	78	0
GCF_037201785.1	18	GH1;GH105;GH120;GH13;GH2;GH25;GH28;GH3;GH30;GH31;GH36;GH39;GH43;GH51;GH65;GH67;GH73;GH8	CBM50;CBM91;CE20;CE4;CE9;GH1;GH105;GH120;GH13;GH2;GH25;GH28;GH3;GH30;GH31;GH36;GH39;GH43;GH51;GH65;GH67;GH73;GH8;GT119;GT2;GT26;GT28;GT4;GT51	58	93	0
GCF_037238825.1	27	GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94	AA10;CBM32;CBM34;CBM50;CE1;CE4;CE7;CE9;GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94;GT119;GT2;GT26;GT28;GT4;GT51;GT8;PL12;PL8	85	97	0
GCF_037283765.1	19	GH1;GH109;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH39;GH42;GH65;GH68;GH73;GH78	AA10;AA4;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH126;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH38;GH39;GH42;GH65;GH68;GH73;GH78;GT119;GT2;GT26;GT28;GT35;GT4;GT5;GT51	88	147	0
